"HolderAddress","Balance","PendingBalanceUpdate"
"0xb1890243823c5370ab90a3df29df797808922337","119,998","No"
"0x5ab7cb3627ca5f9efb7a38c32232133428c74900","113,985","No"
"0xa2787a21e073761afd2f8466a5e5fa70abcac13d","111,764","No"
"0xc6eed835257abc7a2b6a124d34441861bb563eb5","105,000","No"
"0x1a0795dfc77405655ce6adf366339e1b035c5de5","103,965","No"
"0xe8a8fdf98e841c1783f5d3d126684283ae0f094c","103,170","No"
"0x3069513f73ab5eb341c7460d80ae880ba4562910","102,580","No"
"0x05b011d1975c4c2def100f8ef30c71b92824e754","100,600","No"
"0x38ed4d4a95b8b47258108713305e3557d75fc486","100,500","No"
"0x57e69b692e1d82bf813f96a3d361af4b6413efbd","100,495","No"
"0x05ffcfe4afba5cec1a2f8abf0f4105ef35d7f927","100,305","No"
"0xe560b54c5fa97654a65c63d7094a8c37e570393f","100,260","No"
"0x485c58a44ce8a0c64e35aa98a9c5aa6fa61ba9ba","100,145","No"
"0xdc1c1cb5967fe1931a9cecbb6ba60794d9edce72","100,115","No"
"0xcc0eff4909293f48da1e3b052eb8d03adeceebcc","100,015","No"
"0x94bcb134cbc9eda94533b5ba924993056feaccdb","100,009","No"
"0x608469e6785fba113fbff4cd94af92a944e972de","100,000","No"
"0x69cc5be2b3b10856d33487b98e2d3998247b0f3f","100,000","No"
"0x306a0c36ae04b18c949f421b4ef27bdad17f28d5","100,000","No"
"0x3ec0088053c821ef663b4b337ee6261c850a4e67","100,000","No"
"0x470a8fd6af66f87ae06a303549abe2c09ec39075","100,000","No"
"0xdcec7ba92a5e7ccb4d6a3e67321f6d4b888c93ce","100,000","No"
"0x17087a1b6ddef4a32b9b9a877853302df1a057c4","100,000","No"
"0xc658fd053c3795e26a8a1eceb9ba74f878a1c729","100,000","No"
"0x6842f681704f3ed79c7fdee1668c66df99526dce","100,000","No"
"0x9bf71eb1528e10fd3647f8b1e326652f01a0a260","100,000","No"
"0x19f3a9c3d490294b16205da499e7dbdbb39c74f4","100,000","No"
"0x0ca87f3f22bd1984941f75cbb3e5267d94d694d2","100,000","No"
"0xbf9e81248155a55eccdf6cb7dfeafc272311c460","100,000","No"
"0x48b83cdb70ddf5b611c40d6e4799bae70bfbf267","100,000","No"
"0x22709c632ffba1f652f608192ab04efb17e27313","100,000","No"
"0xc219938672d05b914793e7bac3ed1bd740259339","100,000","No"
"0x10a9e47903d1bfb9b914408b8dd65dbcfa29ae78","100,000","No"
"0x3c9fdde02c431af12ff8266d2e963951ffb2e4a0","100,000","No"
"0x877d4008d13de28cbdbe2b2892c08ff51b6c00e1","100,000","No"
"0xb85a2373155279aa974f58b7533def9fcfd8ea69","100,000","No"
"0x71baa88373ae790c761dbba8a824de6d1cd63cbd","100,000","No"
"0x09f0d2b6a83be4c9af7587d5374d9d630837187d","100,000","No"
"0x22a7976a2d30d76c8c31536bb4a4f0a2c9ad18b1","100,000","No"
"0x47479e4ab0d869cac7c906acd2b9a61f07ce4e91","100,000","No"
"0xb0718ddeac97a4d0f2cf01878a52e53e2972edc7","100,000","No"
"0x098d29ed502465680ecbc5ea4cf4aa7b4e09f61f","100,000","No"
"0xc9c437d57678334b3ff0d36aeac3cec288b2faa2","100,000","No"
"0xc9b88e89f7a90293c266a19759248e1ebb7470c0","100,000","No"
"0x5016d6c09f692b9315c2a955394b63239b003a52","100,000","No"
"0x5316948710b420b22784fe1d3e6aadae9ee28b8c","100,000","No"
"0x5dda014a05fd211e0c1b7c4da3e536ed9a96aa5b","100,000","No"
"0x6517f8e9235e6220bd4a768653fac16773c39e77","100,000","No"
"0x2f2cd6f7e6f6512fc704a0a88df44956bdb9b9d3","100,000","No"
"0x24f90b27ec45de9186f2aced71f1ad39efd6b433","100,000","No"
"0xf061a252e4182210c1a76617208c25f47d959a9d","100,000","No"
"0x5ce711e495f7e0f86bcf5d14be1d5845d5e3bcff","100,000","No"
"0xb9a5a05b32bfeb629c21814bc6ba46ad1a76c084","100,000","No"
"0xda1e6cbf4c9fa305aa47628378e6abc94ed70f8d","100,000","No"
"0x21e9ee4c5d144bad329b4370a889f81e06581e39","100,000","No"
"0xa6ed3406172cfa0a5d2dba37f99ecd3ede7342f4","100,000","No"
"0x6398994a6da15378d8098658dd9fdbd725548f3b","100,000","No"
"0x7980cf88e1df8e1187b80bec7831725d9bac5d2e","100,000","No"
"0xb8c9ad0d3a435aa2497e8bc8a8535f0fcd4aed9e","100,000","No"
"0x7b673740d64155468b5b427fd25eeab6cbbf428e","100,000","No"
"0x1f3bfc7135ff0efc1d8dc2b7d187c05bd624f4aa","100,000","No"
"0x3594eb261f38d3a989de051b38c634ad305ef0ab","100,000","No"
"0xf474ca9ac7db2512a07478656c5fc12b507978ce","100,000","No"
"0xb3c4f6fb63c10e7170b219cb6adb3ece81ac2b56","100,000","No"
"0xabc67981cbe5d04c53264b7730bca0bba126d722","100,000","No"
"0x98b6d9102d1a97f01a49b8327c02721b7c97df1f","100,000","No"
"0xdfec6c2f34c765714b3e41a36e489d4eaca120c2","100,000","No"
"0xcdbdf659fd64fdaf606c77168bef3f5f47c50740","100,000","No"
"0x9fde16b5ba9f922d2e0dfb34ea4887ba33db0736","100,000","No"
"0x34b2516be704bb20a4f868191057d145dd26168b","100,000","No"
"0x8936c6dc15cefb92b2dfa140b95c67c580e37844","100,000","No"
"0x87c5ced248560391411d07544f9f451c44dd6211","100,000","No"
"0x113dbb867efbf0fdd75fd2cc02dd64067af4eeed","100,000","No"
"0x9d7f9b84d4a4c053786b67da861ffc24ca2b46de","100,000","No"
"0x79e2a88248050fa56c256fa0ad7aafb6874bc8a0","100,000","No"
"0x30d3fc2dc9ac154ecf655f9533c537178e790a28","100,000","No"
"0x64e5609514c83b038ab7abc77ad9e7b7059a073b","100,000","No"
"0xf3319263a616ba6cbefcbae4adaffca08bb9a986","100,000","No"
"0xf8891d5742e3331290ec8780c36f69387ae8dff6","100,000","No"
"0xb966e2e6f95a944a49c69ca85fa9d9c0729fa2af","100,000","No"
"0xbb6f26255518b49fe2608abb2e18e1474586a2c2","100,000","No"
"0x8713b2a7ca917b7003cf3e3a81ddee2789bc9ea9","100,000","No"
"0x9a7a29e98385fd609102c1279fcabe61f0a387d4","100,000","No"
"0x84ff1ac208129491fd409b96c279fdb2d0161a8d","100,000","No"
"0xe17566764c6cb449ba1f8f74bcfe54deebd574cc","100,000","No"
"0x45fe80a33587715d4c3ef88a4f66a29f2ace0881","100,000","No"
"0xe32e48a01f71983aa726a353be06cdd3445a8bae","100,000","No"
"0x3d7d11d47d26f78decd5d0c4e4bcd804bc4de689","100,000","No"
"0x1d1ea0048e2c4c3aae22d730f9036b8c8d5f6bdf","100,000","No"
"0x9f84ab4435d60ae5a5cd5ae101096bdc30e5594e","100,000","No"
"0xc74ebf759ddb793c2efb7a82ede647dcf0c5347c","100,000","No"
"0x3f2126e31aceaa71107844328cadee9be53f8590","100,000","No"
"0x3c94876db674e145fb9c383aff01d5c6290cbcfe","100,000","No"
